platform,design,arm,arm_witnessed,seed,clk_period,gp_hpwl_final,gp_iterations,gp_segments,diverge_revert,ip_iterations,ip_residual,ip_converged,ip_hit_cap,ip_hpwl_first,ip_hpwl_last,src_odb_3_1,src_core_3_1,src_odb_3_3,src_core_3_3,min_period_wns,setup_ws,setup_tns,hold_ws,wirelength,grt_usage_pct,grt_overflow,grt_max_layer_usage_pct,grt_congested,drc,place_area,place_instances,gp_wall_s,serial,cores,loadavg_at_start,status,place_gp_sha1,skip_io_sha1,grt_sha1
asap7,gcd,anchored,anchored,3,310.0,517.922,319,4,False,5,1.1e-07,True,False,732614,646235,,,,,359.8644,-49.8644,-148.421,43.5947,12072,12.2,0,21.92,False,0,43.9004,410,1.21,False,4,6.73974609375,0,ca7ff7631ac4503c2256,060dc47391467c8797ec,dda915c8f48588a15f6b
asap7,gcd,anchored,anchored,4,310.0,508.432,321,4,False,5,1.1e-07,True,False,729222,642437,,,,,359.8609,-49.8609,-144.19,43.9298,11992,12.14,0,21.97,False,0,43.9587,410,1.21,False,4,6.73974609375,0,626d9802226438a20de9,0527371f65d46d0a0144,f3212a73cc94b3b14c06
asap7,gcd,anchored,anchored,5,310.0,526.34,324,4,False,5,1.1e-07,True,False,728416,642502,,,,,359.7972,-49.7972,-168.783,44.0898,11833,12.05,0,21.84,False,0,43.9587,410,1.23,False,4,6.73974609375,0,95b212c662d50cde6de6,1a222c1edaa1b43e8a1f,0f1408e65875902a2893
asap7,gcd,anchored,anchored,6,310.0,507.472,325,4,False,5,1.2e-07,True,False,728526,644780,,,,,357.8091,-47.8091,-139.741,44.199,11873,11.92,0,20.96,False,0,43.9587,410,1.22,False,4,6.73974609375,0,5fbb735803bd6cf8c0ea,a45419c5944b81fad1af,ea18e0fa07a43455cac8
asap7,gcd,anchored,anchored,7,310.0,521.095,322,4,False,5,1e-07,True,False,728765,646312,,,,,357.6531,-47.6531,-165.719,44.769,12260,12.29,0,21.52,False,0,43.8129,409,1.24,False,4,6.73974609375,0,be1de3052bece6e156e2,7eccc6b8730b0b733029,dd941d2169556a53de98
asap7,gcd,anchored,anchored,8,310.0,521.369,327,4,False,5,1.1e-07,True,False,728985,642873,,,,,361.9059,-51.9059,-159.24,44.873,12078,12.11,0,21.68,False,0,44.0753,412,1.24,False,4,6.73974609375,0,b08612f1f26cd7b79b51,8747fc157d9dc227eac1,895e284323a7bc2a7b9c
asap7,gcd,odb,odb,1,310.0,519.731,316,4,False,5,8e-08,True,False,721133,641464,,,,,358.4616,-48.4616,-153.359,43.5249,12038,12.1,0,22.88,False,0,43.9004,410,1.22,False,4,4.0625,0,8d9e80a85a3464894b8f,2d554c1abd4dad0ef796,103841ab4cfdb25c2b0f
asap7,gcd,odb,odb,2,310.0,523.557,323,4,False,5,9e-08,True,False,725246,639533,,,,,359.8738,-49.8738,-148.203,42.7084,12192,12.41,0,22.48,False,0,43.8129,409,1.22,False,4,4.0625,0,8896b3916003685400f7,2ba908cfb053bbf1b045,a4a678799f2eb5b12a9a
asap7,gcd,odb,odb,3,310.0,518.341,321,4,False,5,1.1e-07,True,False,722082,642567,,,,,362.4005,-52.4005,-181.296,43.983,12289,12.53,0,25.37,False,0,43.7837,408,1.23,False,4,4.0625,0,d80d3e18eeee40760e2d,15a95570da0f4622207a,23b0e98e1c428c02f66d
asap7,gcd,odb,odb,4,310.0,530.909,321,4,False,5,1e-07,True,False,723834,641506,,,,,356.5787,-46.5787,-131.512,43.6273,11981,12.13,0,24.29,False,0,43.8129,409,1.24,False,4,4.0625,0,0889357d15848d3f16dc,b8f9ae9b3a408ae5f066,bee2f14377337fdda0f1
asap7,gcd,odb,odb,5,310.0,531.972,323,4,False,5,1e-07,True,False,723243,646594,,,,,358.3005,-48.3005,-155.864,43.7944,12984,12.64,0,22.91,False,0,44.1337,412,1.23,False,4,5.09716796875,0,d1e75a6d3ad7d3884aff,0fe09ca997f806499c41,a7e5b5b5b08a88cc9307
