platform,design,events_eligible,events_moved,responsiveness,solo_moves,solo_per_year,years_in_fleet,instances
asap7,aes-mbff,77,13,0.16883116883116883,2,0.7351036975115465,2.720704584632545,15442.608695652176
nangate45,ariane136,84,13,0.15476190476190477,4,1.1449842844760723,3.4934977311329125,177807.82608695654
asap7,ibex,104,16,0.15384615384615385,4,0.9404602836305387,4.253236494536973,19948.695652173916
asap7,uart,104,15,0.14423076923076922,3,0.7046594160669728,4.257375877760032,858.2608695652175
gf12,aes,105,15,0.14285714285714285,2,0.46350676614920683,4.314931617106497,13594.782608695654
gf12,ibex,105,15,0.14285714285714285,0,0.0,4.3034965903617515,15373.913043478262
gf12,jpeg,98,14,0.14285714285714285,4,0.9759048819921897,4.098760108500013,83126.08695652174
nangate45,ibex,105,15,0.14285714285714285,0,0.0,4.306579872994144,14713.913043478262
gf12,swerv_wrapper,99,14,0.1414141414141414,5,1.2113365402260647,4.12767206631683,105940.00000000001
asap7,gcd-ccs,71,10,0.14084507042253522,0,0.0,2.171804604912921,418.26086956521743
ihp-sg13g2,aes,79,11,0.13924050632911392,0,0.0,2.863671952239714,17072.17391304348
asap7,aes_lvt,77,10,0.12987012987012986,0,0.0,2.940315233097574,11567.826086956522
asap7,swerv_wrapper,85,11,0.12941176470588237,6,1.7023532922164928,3.5245327908332698,113866.95652173914
gf12,tinyRocket,105,12,0.11428571428571428,3,0.6926842299715623,4.33097776763759,29601.739130434784
gf12,coyote,105,11,0.10476190476190476,2,0.4619939230003101,4.329061272086597,275037.39130434784
rapidus2hp,ibex,39,4,0.10256410256410256,1,1.3676708977544048,0.7311700509544452,14493.04347826087
asap7,mock-array,43,4,0.09302325581395349,9,3.874245236112447,2.323033120389383,10726.08695652174
asap7,uart-blocks,11,1,0.09090909090909091,0,0.0,0.5556332864349633,1022.608695652174
asap7,mock-cpu,74,6,0.08108108108108109,2,0.7960045202168111,2.5125485461505312,41015.65217391305
gf12,bp_single,105,7,0.06666666666666667,8,1.8559900248828762,4.310367993763784,455040.8695652174
gf12,ca53,105,7,0.06666666666666667,3,0.6968217807018549,4.305261521788729,530904.347826087
gf12,gcd,105,7,0.06666666666666667,1,0.23175338307460341,4.314931617106497,527.8260869565217
gf12,ariane133,84,3,0.03571428571428571,2,0.5920747803040389,3.377951682003701,135850.4347826087
asap7,cva6,57,2,0.03508771929824561,8,5.452862276008344,1.4671193943772658,116642.60869565218
gf12,bp_dual,56,1,0.017857142857142856,5,3.5259189387687444,1.4180700370116865,736988.695652174
asap7,mock-array-big,6,0,0.0,7,16.93097329152744,0.4134434494384871,14993.913043478262
gf12,bp_quad,57,0,0.0,5,3.394241221083593,1.4730832826323927,1216967.8260869565
nangate45,bp_quad,20,0,0.0,0,0.0,0.503742680051715,1482162.6086956523
