   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |   Area   |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |          |            | Endpts | Endpt
--------------------------------------------------------------------------------------------------------------
      450 |       0 |     107 |        0 |      0 |    36 |    +0.2% |  -26.813 |   -14201.5 |    560 | pp_row19_0$_DFF_P_/D
      451 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      455 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      458 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      460 |       0 |     106 |        0 |      0 |    36 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      463 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      467 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      470 |       0 |     107 |        0 |      0 |    36 |    +0.2% |  -26.659 |   -14201.4 |    560 | pp_row14_3$_DFF_P_/D
      471 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      475 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      479 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      480 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      483 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      487 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
      490 |       0 |     107 |        0 |      0 |    36 |    +0.2% |  -26.614 |   -14201.4 |    560 | pp_row21_10$_DFF_P_/D
      491 |       0 |     107 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14203.4 |    560 | pp_row21_10$_DFF_P_/D
      495 |       0 |     108 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14210.9 |    560 | pp_row21_10$_DFF_P_/D
      499 |       0 |     108 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14210.9 |    560 | pp_row21_10$_DFF_P_/D
      500 |       0 |     108 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14210.9 |    560 | pp_row21_10$_DFF_P_/D
      502 |       0 |     108 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14210.9 |    560 | pp_row21_10$_DFF_P_/D
      510 |       0 |     113 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14176.0 |    560 | pp_row23_11$_DFF_P_/D
      511 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      515 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      519 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      520 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      523 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      527 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      530 |       0 |     115 |        0 |      0 |    38 |    +0.2% |  -26.659 |   -14180.1 |    560 | pp_row17_6$_DFF_P_/D
      531 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      535 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      539 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      540 |       0 |     114 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14174.5 |    560 | pp_row23_11$_DFF_P_/D
      543 |       0 |     115 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14182.1 |    560 | pp_row23_11$_DFF_P_/D
      547 |       0 |     115 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14182.1 |    560 | pp_row23_11$_DFF_P_/D
      550 |       0 |     116 |        0 |      0 |    38 |    +0.2% |  -26.742 |   -14188.9 |    560 | pp_row14_1$_DFF_P_/D
      550 |       0 |     115 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14182.1 |    560 | pp_row23_11$_DFF_P_/D
      554 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      559 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      560 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      563 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      567 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      570 |       0 |     117 |        0 |      0 |    38 |    +0.2% |  -26.659 |   -14195.1 |    560 | pp_row14_4$_DFF_P_/D
      571 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      575 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      579 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      580 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
      583 |       0 |     116 |        0 |      0 |    37 |    +0.2% |  -26.614 |   -14189.6 |    560 | pp_row23_11$_DFF_P_/D
