design,stage,substep,arm,repeat,call,setup_s,hold_s,passes,last_improving_iter,wns_start_ps,wns_end_ps,endpoints,substep_wall_s,result_sha1,loadavg_at_start,recorded_at
jpeg_lvt,full,2_1_floorplan,base-p0077,1,floorplan_setup,0.36,,0,,,,,12.46,e90ce24809fd3089783b,0.82,2026-09-13T20:22:35
jpeg_lvt,full,4_1_cts,base-p0077,1,setup_hold,1.61,0.32,0,,,,,32.11,e7adc973d7ce821e00c2,0.82,2026-09-13T20:22:35
jpeg_lvt,full,5_1_grt,base-p0077,1,setup_hold,1.3,0.47,0,,,,,86.43,0714b114d977ef39de5c,0.82,2026-09-13T20:22:35
jpeg_lvt,full,5_1_grt,base-p0077,1,post_grt_wns,1.29,,0,,,,,86.43,0714b114d977ef39de5c,0.82,2026-09-13T20:22:35
jpeg_lvt,grt,5_1_grt,base,1,setup_hold,1.35,0.46,0,,,,,86.89,0714b114d977ef39de5c,0.80,2026-09-10T22:05:25
jpeg_lvt,grt,5_1_grt,base,1,post_grt_wns,1.3,,0,,,,,86.89,0714b114d977ef39de5c,0.80,2026-09-10T22:05:25
mock-alu,cts,4_1_cts,base,1,setup_hold,61.21,0.03,1488,1095,-294.849,-275.769,526,72.57,355e96339e1a2cf11c1e,0.89,2026-09-10T21:20:44
mock-alu,cts,4_1_cts,base-p0067,1,setup_hold,56.31,0.03,1488,1095,-294.849,-275.769,526,67.75,355e96339e1a2cf11c1e,0.88,2026-09-11T17:05:53
mock-alu,cts,4_1_cts,base-p0067,2,setup_hold,56.32,0.03,1488,1095,-294.849,-275.769,526,67.83,355e96339e1a2cf11c1e,0.82,2026-09-11T17:08:31
mock-alu,cts,4_1_cts,base-p0067,3,setup_hold,56.55,0.03,1488,1095,-294.849,-275.769,526,68.12,355e96339e1a2cf11c1e,0.94,2026-09-11T17:10:25
mock-alu,cts,4_1_cts,base-p00670068,1,setup_hold,55.05,0.03,1488,1095,-294.849,-275.769,526,66.41,355e96339e1a2cf11c1e,0.87,2026-09-14T04:15:22
mock-alu,cts,4_1_cts,base-p00670068,2,setup_hold,55.75,0.03,1488,1095,-294.849,-275.769,526,67.25,355e96339e1a2cf11c1e,0.87,2026-09-14T04:17:00
mock-alu,cts,4_1_cts,base-p00670068,3,setup_hold,55.71,0.03,1488,1095,-294.849,-275.769,526,67.23,355e96339e1a2cf11c1e,0.86,2026-09-14T04:19:22
mock-alu,cts,4_1_cts,base-p006700680069,1,setup_hold,55.1,0.03,1488,1095,-294.849,-275.769,526,66.44,355e96339e1a2cf11c1e,0.95,2026-09-12T00:32:33
mock-alu,cts,4_1_cts,base-p006700680069,2,setup_hold,55.86,0.03,1488,1095,-294.849,-275.769,526,67.39,355e96339e1a2cf11c1e,0.97,2026-09-12T00:34:11
mock-alu,cts,4_1_cts,base-p006700680069,3,setup_hold,55.05,0.03,1488,1095,-294.849,-275.769,526,66.48,355e96339e1a2cf11c1e,0.99,2026-09-12T00:36:03
mock-alu,cts,4_1_cts,base-p0068,1,setup_hold,61.88,0.04,1488,1095,-294.849,-275.769,526,73.46000000000001,355e96339e1a2cf11c1e,0.81,2026-09-11T19:44:28
mock-alu,cts,4_1_cts,base-p0068,2,setup_hold,61.97,0.03,1488,1095,-294.849,-275.769,526,73.57,355e96339e1a2cf11c1e,0.90,2026-09-11T19:45:57
mock-alu,cts,4_1_cts,base-p0068,3,setup_hold,61.74,0.03,1488,1095,-294.849,-275.769,526,73.24,355e96339e1a2cf11c1e,0.94,2026-09-11T19:48:26
mock-alu,cts,4_1_cts,base-p0069,1,setup_hold,63.18,0.03,1488,1095,-294.849,-275.769,526,74.71000000000001,355e96339e1a2cf11c1e,0.81,2026-09-11T22:09:31
mock-alu,cts,4_1_cts,base-p0069,2,setup_hold,61.39,0.03,1488,1095,-294.849,-275.769,526,72.73,355e96339e1a2cf11c1e,0.80,2026-09-11T22:11:44
mock-alu,cts,4_1_cts,base-p0069,3,setup_hold,60.86,0.03,1488,1095,-294.849,-275.769,526,72.19,355e96339e1a2cf11c1e,0.90,2026-09-11T22:13:27
mock-alu,cts,4_1_cts,base-p0070,1,setup_hold,56.43,0.03,1488,1095,-294.849,-275.769,526,68.01,355e96339e1a2cf11c1e,0.95,2026-09-12T05:15:58
mock-alu,cts,4_1_cts,base-p0070,2,setup_hold,56.35,0.03,1488,1095,-294.849,-275.769,526,67.88,355e96339e1a2cf11c1e,0.94,2026-09-12T05:17:36
mock-alu,cts,4_1_cts,base-p0070,3,setup_hold,57.01,0.03,1488,1095,-294.849,-275.769,526,68.65,355e96339e1a2cf11c1e,0.91,2026-09-12T05:19:30
mock-alu,cts,4_1_cts,base-p0071,1,setup_hold,45.44,0.03,1300,1095,-294.849,-276.912,526,56.89,d23e5e84fa22c76bf128,0.87,2026-09-12T07:34:31
mock-alu,cts,4_1_cts,base-p0071,2,setup_hold,45.45,0.03,1300,1095,-294.849,-276.912,526,57.0,d23e5e84fa22c76bf128,0.93,2026-09-12T07:35:43
mock-alu,cts,4_1_cts,base-p0071,3,setup_hold,44.6,0.03,1300,1095,-294.849,-276.912,526,56.04,d23e5e84fa22c76bf128,0.85,2026-09-12T07:37:10
mock-alu,cts,4_1_cts,base-p0072,1,setup_hold,56.16,0.03,1488,1095,-294.849,-275.769,526,67.64,355e96339e1a2cf11c1e,0.84,2026-09-12T09:59:53
mock-alu,cts,4_1_cts,base-p0072,2,setup_hold,56.58,0.03,1488,1095,-294.849,-275.769,526,68.18,355e96339e1a2cf11c1e,0.97,2026-09-12T10:01:47
mock-alu,cts,4_1_cts,base-p0072,3,setup_hold,56.36,0.03,1488,1095,-294.849,-275.769,526,67.92,355e96339e1a2cf11c1e,0.90,2026-09-12T10:03:40
mock-alu,cts,4_1_cts,base-p0073,1,setup_hold,45.21,0.03,1300,1095,-294.849,-276.912,526,56.59,d23e5e84fa22c76bf128,0.82,2026-09-12T12:12:15
mock-alu,cts,4_1_cts,base-p0073,2,setup_hold,45.32,0.03,1300,1095,-294.849,-276.912,526,56.77,d23e5e84fa22c76bf128,0.96,2026-09-12T12:13:57
mock-alu,cts,4_1_cts,base-p0073,3,setup_hold,45.77,0.03,1300,1095,-294.849,-276.912,526,57.42,d23e5e84fa22c76bf128,0.85,2026-09-12T12:15:25
mock-alu,cts,4_1_cts,base-p0074,1,setup_hold,56.53,0.03,1488,1095,-294.849,-275.769,526,68.07,355e96339e1a2cf11c1e,0.80,2026-09-12T14:52:45
mock-alu,cts,4_1_cts,base-p0074,2,setup_hold,55.97,0.03,1488,1095,-294.849,-275.769,526,67.34,355e96339e1a2cf11c1e,0.89,2026-09-12T14:54:52
mock-alu,cts,4_1_cts,base-p0074,3,setup_hold,56.37,0.03,1488,1095,-294.849,-275.769,526,67.81,355e96339e1a2cf11c1e,0.95,2026-09-12T14:57:16
mock-alu,cts,4_1_cts,base-p0077,1,setup_hold,56.24,0.03,1498,1044,-294.849,-275.769,526,67.92,601adec9a926a22764ff,0.93,2026-09-13T17:51:16
mock-alu,cts,4_1_cts,base-prof,1,setup_hold,61.34,0.03,1488,1095,-294.849,-275.769,526,72.8,355e96339e1a2cf11c1e,0.79,2026-09-11T00:25:22
mock-alu,cts,4_1_cts,base-prof,2,setup_hold,61.44,0.03,1488,1095,-294.849,-275.769,526,72.86,355e96339e1a2cf11c1e,0.93,2026-09-11T05:10:30
mock-alu,cts,4_1_cts,base-prof,3,setup_hold,61.61,0.03,1488,1095,-294.849,-275.769,526,73.18,355e96339e1a2cf11c1e,0.82,2026-09-11T05:13:14
mock-alu,cts,4_1_cts,footprint-prof,1,setup_hold,61.97,0.03,1488,1095,-294.849,-275.769,526,73.46000000000001,355e96339e1a2cf11c1e,0.92,2026-09-11T05:49:33
mock-alu,cts,4_1_cts,footprint-prof,2,setup_hold,61.92,0.03,1488,1095,-294.849,-275.769,526,73.58,355e96339e1a2cf11c1e,0.86,2026-09-11T05:51:47
mock-alu,cts,4_1_cts,footprint-prof,3,setup_hold,62.52,0.03,1488,1095,-294.849,-275.769,526,74.09,355e96339e1a2cf11c1e,0.81,2026-09-11T05:54:16
mock-alu,cts,4_1_cts,noclone-prof,1,setup_hold,62.03,0.03,1654,1266,-294.849,-270.987,526,73.58,a447da462ef7d7a5acda,0.89,2026-09-11T05:34:34
mock-alu,cts,4_1_cts,noclone-prof,2,setup_hold,62.27,0.03,1654,1266,-294.849,-270.987,526,73.96000000000001,a447da462ef7d7a5acda,0.94,2026-09-11T05:36:48
mock-alu,cts,4_1_cts,noclone-prof,3,setup_hold,61.05,0.03,1654,1266,-294.849,-270.987,526,72.65,a447da462ef7d7a5acda,0.84,2026-09-11T05:39:01
mock-alu,cts,4_1_cts,nogasp-prof,1,setup_hold,49.6,0.03,1300,1095,-294.849,-276.912,526,61.21,d23e5e84fa22c76bf128,0.87,2026-09-11T05:28:46
mock-alu,cts,4_1_cts,nogasp-prof,2,setup_hold,49.54,0.03,1300,1095,-294.849,-276.912,526,61.18,d23e5e84fa22c76bf128,0.80,2026-09-11T05:30:32
mock-alu,cts,4_1_cts,nogasp-prof,3,setup_hold,50.22,0.03,1300,1095,-294.849,-276.912,526,61.84,d23e5e84fa22c76bf128,0.92,2026-09-11T05:32:20
mock-alu,cts,4_1_cts,nounbuf-prof,1,setup_hold,63.59,0.03,1698,1493,-294.849,-275.769,526,75.15,e508dd5d5c7a0b1df3a8,0.95,2026-09-11T05:41:32
mock-alu,cts,4_1_cts,nounbuf-prof,2,setup_hold,63.99,0.04,1698,1493,-294.849,-275.769,526,75.65,e508dd5d5c7a0b1df3a8,0.86,2026-09-11T05:43:48
mock-alu,cts,4_1_cts,nounbuf-prof,3,setup_hold,63.59,0.03,1698,1493,-294.849,-275.769,526,75.22,e508dd5d5c7a0b1df3a8,0.90,2026-09-11T05:46:34
mock-alu,cts,4_1_cts,tns20-prof,1,setup_hold,60.72,0.03,1200,952,-294.849,-275.769,526,72.21000000000001,494c52a8efefb0b22eb9,0.80,2026-09-11T05:14:56
mock-alu,cts,4_1_cts,tns20-prof,2,setup_hold,61.95,0.03,1200,952,-294.849,-275.769,526,73.53999999999999,494c52a8efefb0b22eb9,0.79,2026-09-11T05:17:40
mock-alu,cts,4_1_cts,tns20-prof,3,setup_hold,62.26,0.03,1200,952,-294.849,-275.769,526,73.87,494c52a8efefb0b22eb9,0.95,2026-09-11T05:20:25
